,smsin,smsout,callin,callout,internet,sms,calls
21,0.35831791622779874,1.828820120069505,0.9512790278105748,1.0968553353799284,10.869145774470057,0.6118524385791876,1.875987419756789
48,2.061795346505684,1.451606445564539,1.0693322679841175,1.1429778361152538,6.2797921920300634,2.4665264283459583,0.08946241426822564
55,3.040234893149796,1.83340479843214,0.45571700484896194,0.6329467593603603,28.25247968608649,1.0356715759603123,0.4706786427911372
65,1.4090531344671484,1.3203864219657762,1.1986523260254207,0.3643393298503734,52.26966395436104,3.1599884104518723,0.7950567125355473
69,2.954540269296482,1.817351170611717,0.655954363332361,1.3750388376282796,54.22584266093025,3.9410266571632544,0.23012306592978116
76,0.3517931823815803,0.5888435957666549,0.4255383035319787,0.14345287651242425,38.57306987008383,1.447498951878528,0.37685812195887664
86,0.4276876541188606,4.5403407012953085,0.4661969358767717,0.3181284327222606,38.765988649618926,0.8311806530527333,0.12137543977778487
87,1.295347218876497,0.6386017468307564,0.0330622104807927,0.984971292501189,29.207862464716833,2.7165673981352394,1.4094301223831505
89,0.9761535314804611,0.9057584355398692,0.6378123041963085,1.6436558706291096,28.408862192980358,1.6029940809722487,1.0797069283572842
102,0.05216257267974812,0.883411158933621,0.7573165905796864,0.9418298127735847,23.442317246707514,1.372265011860243,0.8068855304401458
154,0.19319103468382512,2.5239943785977386,0.7718431482717659,0.6415565293336065,13.551444405308427,0.24050017943624283,0.01443349002787365
161,0.5457783464498973,0.285977045287451,0.03452562242327368,0.7236447830052791,60.27639050448107,0.18649262525032428,0.5339357910536646
246,0.9394313214738833,1.864645330627422,0.06271541204059193,0.8472297842974995,17.857778758705344,0.49824209402922065,0.2088098842276605
289,0.5170580803131405,0.2625033986538157,0.17816757302549266,0.726737531016549,24.37347387446075,1.2790142680160264,2.2050288512100082
358,1.72093473364522,2.0593455343976537,0.478803623001276,0.23751429206083072,53.221280388846246,2.797792253548193,1.6552560344651448
407,0.09979774352770011,0.17770757193072367,0.4626720445307395,0.21692486260323016,4.65094439856843,0.46915722549615835,2.2693379664894158
443,1.165706466640941,1.8107581457012465,1.2401622342935916,1.822337004681268,38.37146369114384,3.283132241160062,1.072108528450405
516,3.0719138507289108,1.1699874084262814,0.039260562312836776,0.8364227294973594,12.374624584163342,1.218884642558659,2.491358235960408
532,0.4252868007337,0.4511006064738579,0.764907279246667,1.2995919534725902,11.443733277648544,3.584162079062305,1.977753633220037
540,1.0113389164949358,4.832369305572726,0.15106909497881668,0.5859423806932974,32.48042444060398,0.8658862302494069,0.574183715708299
564,0.17077274684527857,0.4882626615264098,1.43602871175742,0.4781080211323825,23.24844346682073,0.19235277138399054,0.2774984126469783
566,0.9247200243748233,1.7627235176144342,0.5854055676820636,0.3038775331012561,33.72509824987777,5.076214297444254,3.3877407562301447
583,0.7459920679699292,4.079964668202163,0.3194888654380544,0.6100576118914457,61.28851969499737,1.6838094739309881,3.430914366548569
591,1.656542718489753,1.1926152786319417,0.6903246781859804,0.830484364827587,26.665072347230108,1.6315966915008684,0.22794617731619896
601,2.2157429962587987,3.9874197455360973,0.7012845773326853,1.1637751235630258,54.565589582512715,1.2024532955156113,0.03298617271214617
602,0.9476982790779058,1.567844729575384,0.1610607751123605,1.6869706433275873,40.60109756948225,2.3839150472142454,0.8088256401080854
621,0.3809861539785386,0.37442941694179527,0.31267219328443374,0.14196019018166256,13.82156718834339,1.390498113573727,0.0846084460816469
632,1.526812122073697,1.3918745901340075,0.37799322441349265,0.8723613773068805,6.043255558279707,1.4105978218978126,2.4711235685232222
643,0.8165093585366716,0.5781077050399089,1.3988150231891023,0.6227893469892749,0.28662488044642515,1.7868085088115782,0.30612124354389575
672,0.7390074422905449,2.241592093844649,1.7508425187802925,0.06230556640488925,23.45459554542966,0.3591750996158854,1.4371044769676187
673,2.090176931048231,0.5720054247728141,0.08339135634996347,1.585623686007837,41.069300369761095,2.4779190387933894,2.428021117662827
696,0.8030005572878043,2.7877599192839657,0.42494876749473837,0.7805756502932245,17.957123947699483,0.2010541952597026,1.2865886284067245
731,3.0077192812530953,2.9742338569582953,1.2981301085550436,0.656784581902968,11.542893929675522,1.3292705868471144,1.7596717055549962
734,2.0723363744848036,0.7390108729067557,0.5272452228244332,0.04654769717334328,44.50467922589054,3.781823832161362,1.4950053915887185
743,0.18017936944746776,2.486522650440949,1.424722249472517,1.1232298984552203,55.20956523928497,0.8900290370803395,2.255513704860642
746,0.024191425827578425,0.7748215324562454,0.7148297772242029,0.6014217560170247,2.9115630546064746,0.7486701049494371,1.0433406412347996
747,0.3029196350482761,0.6882729066682394,0.5558037821702553,0.9771090794108919,55.76403698674404,2.274576607285599,2.5300026339926207
766,1.1499316609377606,1.6148490633227144,0.21884172779733277,0.26716338695145875,0.883400419554267,2.097251660007809,0.07751022448393312
798,2.0600190152667155,3.7480874772391943,1.3748054895411232,0.24568003851518638,37.99767658827096,0.22542703118185778,0.35923712669199964
810,0.9549208053483511,0.24987788057197174,1.005912881915861,0.38656878967560165,50.49189075279764,2.213287197758384,3.8589921907378444
832,0.2749850388874819,3.154297670758169,0.7697019299643416,1.2313615416479051,20.957368576872742,2.2283252453681923,1.921716678150725
845,1.8118082065482546,0.5167148004087013,1.3610761654685744,0.09131052918366121,45.23316465295466,2.0757982513886017,0.431158268347267
